plotcode,treatment,year,species_other,sowndiv,AGB.mix,biomass.y,AGB.mono
B1A11,D1,2017,Tra.pra,16,42.05,311.1,19.44375
B1A11,D1,2018,Ach.mil,16,26.195,353.22,22.07625
B1A11,D1,2018,Ant.syl,16,0,67.98,4.24875
B1A11,D1,2018,Cir.ole,16,0,121.02,7.56375
B1A11,D1,2018,Cre.bie,16,0.24,160.91,10.056875
B1A11,D1,2018,Dau.car,16,0,130.02,8.12625
B1A11,D1,2018,Gal.mol,16,0,701.4,43.8375
B1A11,D1,2018,Ger.pra,16,33.065,550.6,34.4125
B1A11,D1,2018,Leu.vul,16,6.165,589.9,36.86875
B1A11,D1,2018,Ran.acr,16,7.155,88.81,5.550625
B1A11,D1,2018,Rum.ace,16,12.11,258.9,16.18125
B1A11,D1,2018,San.off,16,0,82.02,5.12625
B1A11,D1,2018,Tra.pra,16,160.95,0,0
B1A11,D1,2019,Ach.mil,16,58.265,286.9,17.93125
B1A11,D1,2019,Ant.syl,16,0,1.04,0.065
B1A11,D1,2019,Cir.ole,16,0,34.58,2.16125
B1A11,D1,2019,Cre.bie,16,12.66,73.8,4.6125
B1A11,D1,2019,Dau.car,16,0.61,432.3,27.01875
B1A11,D1,2019,Gal.mol,16,8.27,745.1,46.56875
B1A11,D1,2019,Ger.pra,16,2.615,207.7,12.98125
B1A11,D1,2019,Leu.vul,16,20.095,244.65,15.290625
B1A11,D1,2019,Ran.acr,16,0.68,58.1,3.63125
B1A11,D1,2019,Rum.ace,16,7.47,17.62,1.10125
B1A11,D1,2019,San.off,16,0,232.2,14.5125
B1A11,D1,2019,Tra.pra,16,55.86,0,0
B1A11,D1,2020,Ach.mil,16,86.05,144.33,9.020625
B1A11,D1,2020,Ant.syl,16,0,13.62,0.85125
B1A11,D1,2020,Cir.ole,16,0,0,0
B1A11,D1,2020,Cre.bie,16,15.16,49.25,3.078125
B1A11,D1,2020,Dau.car,16,2.005,81.27,5.079375
B1A11,D1,2020,Gal.mol,16,9.69,535.63,33.476875
B1A11,D1,2020,Ger.pra,16,19,158.15,9.884375
B1A11,D1,2020,Leu.vul,16,28.05,83.38,5.21125
B1A11,D1,2020,Ran.acr,16,1.65,56.17,3.510625
B1A11,D1,2020,Rum.ace,16,2.765,25.84,1.615
B1A11,D1,2020,San.off,16,0,213.63,13.351875
B1A11,D1,2020,Tra.pra,16,36.265,0,0
B1A11,D1,2021,Ach.mil,16,160.85,363.2,22.7
B1A11,D1,2021,Ant.syl,16,0,424.8,26.55
B1A11,D1,2021,Cir.ole,16,0,0,0
B1A11,D1,2021,Cre.bie,16,6.52,248.6,15.5375
B1A11,D1,2021,Dau.car,16,11.215,325.2,20.325
B1A11,D1,2021,Gal.mol,16,20.7,460.7,28.79375
B1A11,D1,2021,Ger.pra,16,9.86,550.8,34.425
B1A11,D1,2021,Leu.vul,16,0.78,181.5,11.34375
B1A11,D1,2021,Ran.acr,16,2.475,181.9,11.36875
B1A11,D1,2021,Rum.ace,16,67.77,46.91,2.931875
B1A11,D1,2021,San.off,16,0,517.3,32.33125
B1A11,D1,2021,Tra.pra,16,25.86,0,0
B1A12,D1,2017,Lat.pra,8,0,244.9,30.6125
B1A12,D1,2017,Med.lup,8,1.215,243.71,30.46375
B1A12,D1,2017,Med.var,8,95.15,1289.1,161.1375
B1A12,D1,2017,Tri.hyb,8,433.6,1047.3,130.9125
B1A12,D1,2017,Tri.pra,8,230.15,476.9,59.6125
B1A12,D1,2018,Lat.pra,8,0,48.8,6.1
B1A12,D1,2018,Med.lup,8,0,68.37,8.54625
B1A12,D1,2018,Med.var,8,159.715,1731.5,216.4375
B1A12,D1,2018,Tri.hyb,8,25.685,0.19,0.02375
B1A12,D1,2018,Tri.pra,8,15.69,53.06,6.6325
B1A12,D1,2019,Lat.pra,8,0,66.3,8.2875
B1A12,D1,2019,Med.lup,8,0,392.5,49.0625
B1A12,D1,2019,Med.var,8,207.05,1011.9,126.4875
B1A12,D1,2019,Tri.hyb,8,0,114.34,14.2925
B1A12,D1,2019,Tri.pra,8,11.325,95.4,11.925
B1A12,D1,2020,Lat.pra,8,0,0,0
B1A12,D1,2020,Med.lup,8,0,72.94,9.1175
B1A12,D1,2020,Med.var,8,48.8,657.1,82.1375
B1A12,D1,2020,Tri.hyb,8,0,9.51,1.18875
B1A12,D1,2020,Tri.pra,8,5.75,87.35,10.91875
B1A12,D1,2021,Lat.pra,8,6.35,94.8,11.85
B1A12,D1,2021,Med.lup,8,0,55.6,6.95
B1A12,D1,2021,Med.var,8,267.6,748.3,93.5375
B1A12,D1,2021,Tri.hyb,8,10.44,12.1,1.5125
B1A12,D1,2021,Tri.pra,8,14.12,92.21,11.52625
B1A13,D1,2017,Lot.cor,4,129.4,846.4,211.6
B1A13,D1,2017,Med.lup,4,8.31,243.71,60.9275
B1A13,D1,2017,Med.var,4,473.1,1289.1,322.275
B1A13,D1,2018,Lot.cor,4,0,459.2,114.8
B1A13,D1,2018,Med.lup,4,0,68.37,17.0925
B1A13,D1,2018,Med.var,4,633.55,1731.5,432.875
B1A13,D1,2019,Lot.cor,4,0,244.5,61.125
B1A13,D1,2019,Med.lup,4,213.15,392.5,98.125
B1A13,D1,2019,Med.var,4,375.8,1011.9,252.975
B1A13,D1,2020,Lot.cor,4,0,56.91,14.2275
B1A13,D1,2020,Med.lup,4,0,72.94,18.235
B1A13,D1,2020,Med.var,4,234.485,657.1,164.275
B1A13,D1,2021,Lot.cor,4,0.17,365.9,91.475
B1A13,D1,2021,Med.lup,4,0,55.6,13.9
B1A13,D1,2021,Med.var,4,103.18,748.3,187.075
B1A14,D1,2017,Ant.syl,8,0,200.6,25.075
B1A14,D1,2017,Dau.car,8,287.15,614.4,76.8
B1A14,D1,2017,Leo.his,8,5.27,408.1,51.0125
B1A14,D1,2017,Pla.lan,8,330.1,388.4,48.55
B1A14,D1,2017,Tri.fra,8,1.7,183.83,22.97875
B1A14,D1,2018,Ant.syl,8,0,67.98,8.4975
B1A14,D1,2018,Dau.car,8,0,130.02,16.2525
B1A14,D1,2018,Leo.his,8,9.275,207.31,25.91375
B1A14,D1,2018,Pla.lan,8,4.605,87.11,10.88875
B1A14,D1,2018,Tri.fra,8,60.4,343.1,42.8875
B1A14,D1,2019,Ant.syl,8,0,1.04,0.13
B1A14,D1,2019,Dau.car,8,0.19,432.3,54.0375
B1A14,D1,2019,Leo.his,8,10.03,198.7,24.8375
B1A14,D1,2019,Pla.lan,8,3.33,80.5,10.0625
B1A14,D1,2019,Tri.fra,8,74.195,189.2,23.65
B1A14,D1,2020,Ant.syl,8,0,13.62,1.7025
B1A14,D1,2020,Dau.car,8,0,81.27,10.15875
B1A14,D1,2020,Leo.his,8,0.6,67.13,8.39125
